COUNTYA,AQPZE001,AQPZE002,AQPZE003,AQPZE004,AQPZE005,AQPZE006,AQPZE007,AQPZE008,AQP6E001,AQTOE001,AQTOE002,AQTOE003,AQTOE004,AQTOE005,AQTOE006,AQTOE007,AQTOE008,AQTOE009,AQTOE010,AQTOE011,AQTOE012,AQTOE013,AQUSE001,AQUYE001,AQUYE002,AQUYE003,AQUYE004,AQUYE005,AQUYE006,AQUYE007,AQUYE008,AQUYE009,AQUYE010,AQUYE011,AQU4E001,AQVWE001,AQVWE002,AQVWE003,AQVWE004,AQVWE005,AQVWE006,AQVWE007,AQVWE008,AQVWE009,AQVWE010,AQVWE011,AQVWE012,AQVWE013
1,1637215,77888,71955,39636,41669,60656,26162,1319249,122488,585818,317451,208717,97470,8785,1856,623,268367,125080,110982,19452,10022,2831,2229,268367,9941,22565,33808,34561,30518,22852,15722,22545,64479,11376,999200,585818,225853,71390,29073,787,91598,12629,5915,1302,268367,119804,62391,11376
3,1515,91,117,20,50,84,78,1075,101125,435,360,283,75,1,1,0,75,36,32,7,0,0,,75,7,24,6,3,20,0,1,0,9,5,463900,435,163,36,21,0,197,21,5,0,75,10,9,5
5,37571,1662,1283,1067,1531,1775,550,29703,74853,15745,12440,9674,2515,207,37,7,3305,2113,1010,94,88,0,1257,3305,26,198,390,396,348,363,348,353,465,418,409600,15745,7837,3061,1481,49,4603,743,407,84,3305,1456,465,418
7,208718,18633,19382,10456,10427,11546,4579,133695,66085,83319,48424,36497,10705,909,224,89,34895,20331,12640,1391,507,26,1280,34895,1212,2000,3397,3645,3839,2571,2397,3490,9811,2533,371600,83319,28897,8632,3434,165,19527,2760,1181,539,34895,17795,9512,2533
9,45223,2566,3349,1059,2715,2325,747,32462,77526,17198,14114,11103,2786,160,51,14,3084,1798,1169,100,9,8,1621,3084,307,98,312,261,210,309,373,231,696,287,404200,17198,8309,3551,1666,46,5805,1314,572,115,3084,1557,683,287
11,21600,565,1799,1358,1161,1916,394,14407,69619,7432,4686,3299,1237,110,36,4,2746,1141,1371,174,37,23,1061,2746,308,199,260,520,198,204,219,180,404,254,360100,7432,2648,881,407,25,2038,315,44,43,2746,969,369,254
13,1153216,50386,44869,27487,32679,40568,20303,936924,120020,408537,274388,197534,69716,5414,1079,645,134149,63819,54611,9429,4406,1884,2234,134149,3941,8537,14915,16674,13974,11714,10000,13799,33852,6743,787300,408537,198589,66150,27610,744,75799,10615,5672,785,134149,66991,32897,6743
15,25096,1657,1928,1527,1239,1749,511,16485,61149,9530,6492,4811,1540,108,18,15,3038,1648,1249,138,0,3,1146,3038,120,162,238,262,510,219,213,188,883,243,282500,9530,2918,650,286,0,3574,505,100,20,3038,1441,863,243
17,190326,7277,9087,4793,4862,6937,3195,154175,99246,75190,57235,45019,11334,613,177,92,17955,10448,6670,536,153,148,1597,17955,776,1492,1590,1823,1940,1599,958,1843,4811,1123,597600,75190,38443,12614,5085,242,18792,2993,1689,201,17955,8834,4745,1123
19,990821,85959,107716,54289,56926,70812,33388,581731,67756,318322,172455,110859,52146,7058,1724,668,145867,59746,61978,12094,7167,4882,1207,145867,5696,10401,15658,16046,14298,12365,9819,13543,38249,9792,338200,318322,117663,34226,15318,807,54792,7152,3340,808,145867,71614,37413,9792
21,28422,2201,2134,1576,1447,2132,1546,17386,64033,9742,5906,4054,1713,55,79,5,3836,2096,1478,241,13,8,978,3836,105,576,420,286,488,217,121,372,768,483,295400,9742,3465,1133,724,8,2441,373,249,0,3836,1429,768,483
23,133139,12803,13591,6217,7045,8212,4164,81107,57881,54495,30965,23427,6635,527,347,29,23530,14454,7715,750,519,92,1191,23530,708,1344,2002,2306,1970,2004,1552,2636,7453,1555,386000,54495,16979,6399,2334,177,13986,2004,992,322,23530,13251,7332,1555
25,171450,16519,19573,12458,12295,12163,6471,91971,53847,47024,27122,15699,9651,1189,278,305,19902,8239,9024,1718,745,176,961,19902,906,1693,1604,1898,2442,1839,1543,1537,5146,1294,256000,47024,16364,5661,2543,71,10758,1327,505,100,19902,9635,5006,1294
27,18434,1220,979,889,541,989,811,13005,63417,7849,5178,4106,973,68,27,4,2671,1954,657,32,27,1,1131,2671,457,200,346,174,191,378,92,135,400,298,325900,7849,2113,716,416,7,3065,605,299,135,2671,946,388,298
29,881217,68382,101631,56811,56707,68459,27192,502035,63883,277499,165473,101729,53402,7927,1602,813,112026,48963,46735,10642,4482,1204,1161,112026,2882,8691,11201,12030,11650,9224,8131,11466,29157,7594,282800,277499,110729,35853,14909,687,54744,7991,3524,1231,112026,55815,28319,7594
31,139603,10398,12236,7681,8460,11938,5424,83466,68540,43594,23924,14060,8437,1056,256,115,19670,8618,8854,1558,480,160,1201,19670,518,2186,2162,3046,2185,1818,1139,1632,3936,1048,281400,43594,16194,4940,1800,38,7730,1030,404,79,19670,8140,3815,1048
33,66691,5065,6000,3314,4638,3964,1956,41754,56259,26487,18420,13442,4321,447,137,73,8067,4438,3191,240,91,107,1206,8067,215,580,879,800,971,468,795,603,1966,790,291300,26487,9938,3836,1704,71,8482,1749,676,37,8067,3821,1886,790
35,23931,1878,1767,903,1088,1740,1129,15426,59515,8925,6131,4802,1233,74,22,0,2794,1681,980,86,37,10,1038,2794,247,246,221,402,278,195,147,219,639,200,233100,8925,3281,872,343,21,2850,519,261,24,2794,1161,568,200
37,9782602,613408,730570,440057,438735,618378,265962,6675492,83411,3363093,1552164,963923,497574,63929,18349,8389,1810929,778015,751251,149488,93704,38471,1805,1810929,49720,116097,178647,199662,191683,161490,120923,176809,526945,88953,732200,3363093,1073905,438053,203953,7759,478259,77165,39991,7656,1810929,950953,512360,88953
39,150314,11501,18653,8468,7779,10768,4902,88243,73543,43857,28719,18122,8939,1095,445,118,15138,5272,6739,2149,609,369,1185,15138,455,1225,1960,1531,1527,1470,825,1133,3574,1438,340300,43857,19209,6569,2993,162,9510,1232,662,166,15138,6801,3502,1438
41,255793,8647,9162,4229,4678,11158,2459,215460,142019,103709,66444,53087,12686,355,286,30,37265,22604,10960,2049,1136,516,2487,37265,1748,2495,3781,4226,4587,3119,2581,3510,9305,1913,1291800,103709,45126,16228,7027,240,21318,4106,2392,311,37265,17771,9082,1913
43,16960,1538,1174,783,647,959,621,11238,60021,7597,5604,4594,920,84,6,0,1993,1090,703,161,39,0,1134,1993,106,102,211,126,210,148,131,338,393,228,335900,7597,2808,1028,546,0,2796,325,104,50,1993,1010,393,228
45,89649,5725,8758,3291,4998,7264,1838,57775,61335,34557,21044,15297,5175,352,180,40,13513,7776,4601,763,369,4,1240,13513,392,957,1146,1467,1549,1230,1023,1462,3113,1174,463700,34557,10442,4065,2032,71,10602,2003,1087,286,13513,6621,3014,1174
47,276803,22410,28862,16794,14880,21874,9748,162235,64772,82760,44156,27505,14129,1859,471,192,38604,17490,16475,2982,1096,561,1200,38604,1286,3573,4380,4592,4860,3044,2342,3208,8142,3177,342300,82760,28838,9718,4038,218,15318,2100,1058,334,38604,15930,7907,3177
49,8464,821,609,459,416,841,255,5063,54962,3403,2557,2120,382,55,0,0,846,541,285,20,0,0,796,846,52,96,41,77,92,26,23,100,178,161,184900,3403,975,242,121,9,1582,109,84,33,846,319,178,161
51,13095,917,561,302,267,766,280,10002,82038,5473,3743,2799,784,160,0,0,1730,1176,457,67,30,0,1259,1730,59,49,162,620,184,198,0,18,150,290,496800,5473,2531,1051,228,0,1212,357,334,39,1730,271,150,290
53,421244,21554,30359,19823,18657,31071,12860,286920,91043,130973,68359,43242,19846,3997,811,463,62614,24089,25353,8750,3187,1235,1873,62614,1643,4204,6417,7156,7687,6421,4611,6242,15497,2736,683700,130973,44438,15112,6783,182,23921,3282,1436,223,62614,31322,15107,2736
55,134649,4713,5907,3230,5087,6489,2067,107156,105809,49218,32076,24067,6947,769,198,95,17142,8415,6609,1531,462,125,2037,17142,380,1032,1732,2594,1888,1616,1223,1726,4101,850,794500,49218,20273,7536,3394,150,11803,1832,909,143,17142,8322,3940,850
57,101291,4724,5781,3469,3646,5692,2123,75856,79395,41415,31000,24153,6518,230,78,21,10415,6938,3234,181,62,0,1487,10415,255,587,1018,985,1145,838,494,1066,3294,733,559700,41415,18965,8310,3848,61,12035,2707,1353,288,10415,5506,3264,733
59,3137483,157479,146331,100808,102043,150323,62386,2418113,109361,1066286,602959,410080,169338,17304,4631,1606,463327,195687,198050,41164,21904,6522,2248,463327,12262,27373,47711,54415,52788,42991,31190,43296,128866,22435,862900,1066286,413691,145043,61975,2403,189268,27678,15500,3037,463327,236693,125589,22435
61,403083,14004,13442,8005,8905,13518,7421,337788,109375,152537,112597,87314,23996,1028,183,76,39940,23694,14318,1237,601,90,1874,39940,773,2531,4229,4925,4322,3767,2892,3939,10264,2298,627100,152537,78677,24128,9402,519,33920,5334,2810,449,39940,19955,9999,2298
63,19331,978,1123,856,519,1273,575,14007,67885,8104,6023,4991,959,73,0,0,2081,1189,747,94,51,0,1102,2081,258,200,215,180,226,171,93,92,442,204,310100,8104,3455,897,385,0,2568,327,167,74,2081,791,442,204
65,2392682,121393,151039,97483,101144,161696,66300,1693627,84505,749976,513821,334906,152648,20226,4191,1850,236155,108818,98106,19006,7343,2882,1711,236155,5341,14124,23879,26914,22455,23392,17319,24984,64727,13020,462900,749976,356027,130155,56146,2497,157794,27556,12952,2857,236155,124488,62797,13020
67,1560173,99114,105274,59904,62314,88657,38026,1106884,84010,563856,328664,231376,87076,7579,2002,631,235192,124232,88837,14055,6276,1792,1599,235192,5652,16264,25882,28081,25157,20950,17284,23482,61279,11161,465900,563856,230375,70365,27489,895,98289,12377,6606,1137,235192,117999,59394,11161
69,64339,2192,2640,2282,2128,2842,1942,50313,104451,19852,13087,8492,4071,381,112,31,6765,2741,3167,609,197,51,1830,6765,270,535,914,704,829,621,450,693,1401,348,703200,19852,9756,4051,1344,49,3331,508,170,19,6765,3018,1369,348
71,2135785,136306,157940,99538,107858,150650,64820,1418673,77423,659928,403105,244127,135042,17487,4667,1782,256823,110348,110470,23936,9317,2752,1584,256823,6487,14838,25680,29019,27788,23427,17446,26804,72807,12527,438000,659928,282198,99353,40167,1217,120907,16396,7767,1674,256823,134680,70841,12527
73,3204475,165629,173123,108971,113581,155737,70166,2417268,96974,1149157,623317,433650,167513,16578,4055,1521,525840,249103,220127,34541,17025,5044,2011,525840,10612,29628,54251,61211,60840,48900,37001,53307,148226,21864,725200,1149157,437805,159928,67184,2252,185512,28862,14518,2934,525840,276728,144384,21864
75,837888,45072,42777,24434,23327,25835,12314,664129,136689,360842,139117,94267,38987,3714,1612,537,221725,112119,91420,5884,8724,3578,2316,221725,19368,30707,32477,29484,22388,16099,10108,14094,38401,8599,1348700,360842,88993,30142,14792,484,50124,7219,4535,857,221725,75042,37016,8599
77,763754,43129,55223,32130,36114,46632,25868,524658,82837,237423,142391,89645,44606,6068,1496,576,95032,41324,41582,8441,2983,702,1542,95032,2913,6820,10337,12091,10153,9453,6537,8762,22463,5503,462000,237423,99882,33034,14109,383,42509,5985,3110,591,95032,44940,21997,5503
79,268028,18414,15314,7459,7574,11977,5124,202166,90158,108099,67031,51695,13858,1106,190,182,41068,23195,15451,1560,694,168,1800,41068,1041,2350,4508,4473,4411,3847,2794,4031,11181,2432,726700,108099,42654,15599,7009,242,24377,3707,2002,277,41068,21108,11096,2432
81,748410,24826,23311,14284,15039,22774,10055,638121,149907,264323,157368,107221,45198,3448,1056,445,106955,45943,46595,7229,5342,1846,2805,106955,4706,9566,13873,13546,11295,7970,5522,9822,26396,4259,1441300,264323,107054,35886,16453,427,50314,6887,3563,745,106955,48160,25616,4259
83,425067,30313,27200,18598,19812,25131,11834,292179,92332,148032,78168,54331,19921,2733,610,573,69864,30284,28281,6557,3522,1220,1964,69864,1852,4044,7309,8309,7260,6462,5195,6874,19113,3446,714800,148032,50129,17465,7466,147,28039,4535,2511,411,69864,36279,18486,3446
85,1886562,67081,62753,37658,39363,59863,28397,1591447,153792,650352,361551,236147,113176,9036,2388,804,288801,116952,133392,21915,12856,3686,2719,288801,14733,31095,39425,38575,30617,24263,18581,22828,58096,10588,1316800,650352,246058,75240,31476,937,115493,15794,8662,1189,288801,118410,56699,10588
87,257415,15250,14052,7794,9042,14285,5465,191527,104409,96487,57852,40828,15153,1493,232,146,38635,17667,16282,2513,1430,743,2094,38635,1695,2550,4300,4006,4661,3008,2243,3181,10733,2258,951300,96487,37818,13675,6046,191,20034,3554,1981,158,38635,18498,10527,2258
89,178820,11684,12069,7889,7033,12621,4841,122683,68347,71107,46257,34793,10410,853,159,42,24850,15117,8542,797,317,77,1232,24850,971,2146,2762,3196,2584,2113,1388,1898,5978,1814,327500,71107,28422,9359,4065,88,17835,3216,1493,148,24850,10990,5826,1814
91,2854,22,337,104,101,117,39,2134,61108,1135,940,791,144,5,0,0,195,93,81,21,0,0,1184,195,5,0,21,0,52,26,0,16,10,65,289400,1135,548,215,174,4,392,57,28,0,195,52,10,65
93,43698,3114,4175,2471,1974,3122,1559,27283,53898,18768,12744,9872,2572,212,75,13,6024,3856,1799,247,69,53,984,6024,279,665,395,639,487,472,294,665,1536,592,260200,18768,5907,1987,790,26,6837,999,479,121,6024,2823,1521,592
95,441378,19667,20038,12480,13157,18959,11830,345247,97037,154987,97692,69923,25363,1613,539,254,57295,30041,21572,3610,1637,435,1981,57295,1118,3423,5913,7150,6931,5608,4096,5283,14786,2987,549100,154987,71276,23326,8796,290,26416,3184,1926,396,57295,28645,14159,2987
97,481716,24078,18847,12878,13336,19656,9954,382967,99266,189653,116921,87492,26836,1786,581,226,72732,38744,27427,4509,1500,552,2029,72732,2134,4788,7921,8233,8411,7163,5027,6835,18407,3813,748500,189653,77093,28072,11870,232,39828,6564,3032,619,72732,36103,17626,3813
99,547303,33443,41682,27175,27162,39700,16635,361506,74872,175747,106359,68674,32169,4320,816,380,69388,32098,29492,5482,1637,679,1433,69388,1808,5576,8568,7493,7335,5121,4523,6318,18004,4642,393300,175747,70378,23147,9842,304,35981,5312,2159,621,69388,32893,17648,4642
101,98113,5527,7538,5115,4999,6514,3178,65242,72654,33041,19680,13502,5265,611,181,121,13361,6726,5400,833,344,58,1289,13361,766,992,1330,1656,1378,1289,887,1529,2600,934,375400,33041,12693,4044,1475,62,6987,1056,444,52,13361,5949,2563,934
103,64796,4778,5705,3581,4064,4529,2384,39755,59029,24623,16520,12172,3715,369,166,98,8103,4486,3146,392,60,19,1119,8103,115,713,863,1158,865,439,508,724,1809,909,290400,24623,9775,3422,1320,78,6745,1146,691,89,8103,3410,1800,909
105,15717,1947,1510,896,998,1249,226,8891,47317,5483,3883,3257,472,133,21,0,1600,1139,345,116,0,0,928,1600,86,293,127,252,84,74,85,154,198,247,326200,5483,1527,613,300,15,2356,312,179,66,1600,467,198,247
107,467719,37638,48753,31275,29579,39411,15726,265337,64474,140670,82078,47453,29546,3816,952,311,58592,22870,27248,6510,1374,590,1137,58592,2355,5387,6665,6581,6004,4474,3381,5589,13911,4245,280900,140670,54992,17765,6800,373,27086,3598,1922,344,58592,26492,13445,4245
109,51779,2288,3599,1881,1504,2694,1579,38234,70432,22831,16991,13471,3336,172,12,0,5840,3634,1907,190,82,27,1129,5840,282,471,571,592,301,521,307,670,1638,487,377700,22831,10089,4176,1342,8,6902,1627,619,115,5840,2994,1506,487
111,830237,35473,38842,24784,30721,45084,16961,638372,102141,275653,176575,125090,45280,4868,853,484,99078,47678,39653,7030,3544,1173,2140,99078,2190,5584,9286,10376,10228,9858,7022,11154,27435,5945,719100,275653,123698,44829,19007,569,52877,6972,3672,626,99078,53171,26770,5945
113,209629,22192,14329,7489,7755,9935,4155,143774,85097,76107,39712,27885,10777,889,94,67,36395,17398,15175,2306,1278,238,1655,36395,969,2261,3534,3931,4335,2698,2143,3008,11115,2401,555200,76107,26740,7438,2701,91,12972,1629,899,86,36395,18365,10888,2401
115,80299,5685,6690,3583,4499,5617,2471,51754,66693,27567,16928,10922,5419,513,70,4,10639,5296,4339,625,263,116,1137,10639,300,633,1228,1385,1037,1308,562,1025,2262,899,350600,27567,11570,4170,1662,39,5358,730,392,104,10639,4975,2177,899